# CVS spectrum collected post-FFT during II&T by Caleb Baker.  This is
# Band 4 + LOWFS (510-840nm, or 675 center and 330 width in Varia command)
#
# flux units are arbitrary spectrometer units; we are relying on the self-
# normalization of eetc spectra for magnitude conversion.
#
# wavelength (A), flux
3.47877E+03,1.0000E-15
3.48091E+03,1.0000E-15
3.48305E+03,1.0000E-15
3.48519E+03,1.0000E-15
3.48733E+03,1.0000E-15
3.48948E+03,1.0000E-15
3.49162E+03,1.0000E-15
3.49376E+03,1.0000E-15
3.49590E+03,1.0000E-15
3.49804E+03,1.0000E-15
3.50019E+03,1.0000E-15
3.50233E+03,1.0000E-15
3.50447E+03,1.0000E-15
3.50661E+03,1.0000E-15
3.50876E+03,1.0000E-15
3.51090E+03,1.0000E-15
3.51304E+03,1.0000E-15
3.51518E+03,1.0000E-15
3.51733E+03,1.0000E-15
3.51947E+03,1.0000E-15
3.52161E+03,1.0000E-15
3.52376E+03,1.0000E-15
3.52590E+03,1.0000E-15
3.52805E+03,1.0000E-15
3.53019E+03,1.0000E-15
3.53233E+03,1.0000E-15
3.53448E+03,1.0000E-15
3.53662E+03,1.0000E-15
3.53877E+03,1.0000E-15
3.54091E+03,1.0000E-15
3.54306E+03,1.0000E-15
3.54520E+03,1.0000E-15
3.54735E+03,1.0000E-15
3.54949E+03,1.0000E-15
3.55164E+03,1.0000E-15
3.55379E+03,1.0000E-15
3.55593E+03,1.0000E-15
3.55808E+03,1.0000E-15
3.56022E+03,1.0000E-15
3.56237E+03,1.0000E-15
3.56452E+03,1.0000E-15
3.56666E+03,1.0000E-15
3.56881E+03,1.0000E-15
3.57096E+03,1.0000E-15
3.57310E+03,1.0000E-15
3.57525E+03,1.0000E-15
3.57740E+03,1.0000E-15
3.57954E+03,1.0000E-15
3.58169E+03,1.0000E-15
3.58384E+03,1.0000E-15
3.58599E+03,1.0000E-15
3.58814E+03,1.0000E-15
3.59028E+03,1.0000E-15
3.59243E+03,1.0000E-15
3.59458E+03,1.0000E-15
3.59673E+03,1.0000E-15
3.59888E+03,1.0000E-15
3.60103E+03,1.0000E-15
3.60317E+03,1.0000E-15
3.60532E+03,1.0000E-15
3.60747E+03,1.0000E-15
3.60962E+03,1.0000E-15
3.61177E+03,1.0000E-15
3.61392E+03,1.0000E-15
3.61607E+03,1.0000E-15
3.61822E+03,1.0000E-15
3.62037E+03,1.0000E-15
3.62252E+03,1.0000E-15
3.62467E+03,1.0000E-15
3.62682E+03,1.0000E-15
3.62897E+03,1.0000E-15
3.63112E+03,1.0000E-15
3.63327E+03,1.0000E-15
3.63542E+03,1.0000E-15
3.63758E+03,1.0000E-15
3.63973E+03,1.0000E-15
3.64188E+03,1.0000E-15
3.64403E+03,1.0000E-15
3.64618E+03,1.0000E-15
3.64833E+03,1.0000E-15
3.65048E+03,1.0000E-15
3.65264E+03,1.0000E-15
3.65479E+03,1.0000E-15
3.65694E+03,1.0000E-15
3.65909E+03,1.0000E-15
3.66125E+03,1.0000E-15
3.66340E+03,1.0000E-15
3.66555E+03,1.0000E-15
3.66770E+03,1.0000E-15
3.66986E+03,1.0000E-15
3.67201E+03,1.0000E-15
3.67416E+03,1.0000E-15
3.67632E+03,1.0000E-15
3.67847E+03,1.0000E-15
3.68063E+03,1.0000E-15
3.68278E+03,1.0000E-15
3.68493E+03,1.0000E-15
3.68709E+03,1.0000E-15
3.68924E+03,1.0000E-15
3.69140E+03,1.0000E-15
3.69355E+03,1.0000E-15
3.69571E+03,1.0000E-15
